"training.data.idx","rf.pred"
2,2
17,2
24,2
30,2
31,1
36,3
62,2
102,2
134,2
139,1
152,2
159,2
169,1
172,2
180,2
189,1
214,2
230,2
257,1
260,2
267,1
273,2
278,2
282,2
290,2
301,2
312,2
329,2
341,2
343,2
352,2
353,2
358,2
365,3
385,2
454,1
455,2
457,2
469,1
477,2
479,2
480,2
494,2
503,1
508,1
515,2
523,1
524,2
544,2
549,2
553,2
586,2
592,2
595,2
602,2
611,1
624,2
634,2
642,2
652,2
662,1
665,2
673,2
674,2
685,2
696,2
697,2
712,3
713,2
723,2
725,2
736,1
738,1
748,2
756,2
760,2
812,1
816,1
838,2
869,2
881,2
882,2
888,1
890,2
901,1
907,1
911,2
915,1
925,1
936,2
940,2
958,2
979,2
992,2
1022,2
1024,2
1029,2
1037,2
1060,2
1072,2
1077,2
1093,2
1097,2
1098,2
1110,2
1120,2
1123,2
1128,4
1130,1
1140,1
1148,1
1150,2
1162,2
1176,2
1187,2
1193,2
1202,2
1211,2
1224,2
1235,2
1240,2
1244,1
1250,2
1285,2
1292,2
1293,2
1294,2
1345,2
1352,1
1363,2
1371,2
1390,3
1424,2
1427,2
1461,2
1467,2
1469,2
1471,2
1477,1
1481,1
1518,2
1523,2
1528,2
1529,1
1543,2
1567,2
1570,2
1592,2
1601,1
1611,2
1617,2
1618,2
1625,2
1630,3
1633,2
1644,2
1654,2
1656,3
1673,1
1675,2
1683,2
1685,2
1695,2
1701,2
1710,1
1715,1
1716,2
1717,2
1720,2
1742,2
1747,2
1754,2
1801,2
1806,2
1812,2
1821,2
1829,1
1837,2
1848,2
1857,1
1940,2
1943,2
1957,2
1966,2
1980,3
1982,3
2016,2
2040,2
2048,2
2091,2
2102,2
2106,2
2119,2
2146,1
2147,2
2164,1
2166,2
2171,2
2176,1
2183,2
2197,2
2198,2
2216,2
2219,2
2223,2
2244,1
2276,2
2287,4
2302,1
2325,2
2336,2
2343,1
2352,1
2353,2
2357,2
2367,1
2368,2
2369,2
2379,2
2406,1
2414,1
2415,2
2419,1
2432,2
2440,2
2443,2
2446,2
2447,3
2452,1
2480,2
2493,2
2495,3
2507,1
2511,2
2519,2
2535,2
2549,2
2554,2
2561,2
2566,2
2567,2
2570,1
2572,1
2584,2
2591,2
2596,1
2600,2
2608,2
2614,2
2620,2
2625,1
2627,3
2646,2
2651,2
2657,2
2670,1
2674,2
2675,2
2678,2
2687,2
2689,2
2692,2
2693,2
2698,2
2707,2
2726,2
2734,2
2735,2
2751,2
2752,2
2757,2
2764,2
2776,2
2780,2
2791,2
2796,2
2798,2
2803,1
2814,2
2824,2
2829,1
2835,2
2843,1
2873,2
2881,2
2885,1
2888,2
2891,2
2923,2
2949,2
2958,2
2961,1
2978,2
2999,2
3008,2
3009,1
3032,2
3060,2
3062,2
3067,2
3073,2
3075,2
3081,2
3089,2
3114,2
3139,2
3141,1
3156,2
3157,2
3168,2
