"ensemble","ensemble.size","accuracy"
"rfferns,knn,rfrules,gbm,glmnet,adabag",6,0.500999333777482
"knn,adabag,pda,rf,glmnet,multinom,gbm,rfrules,rfferns",9,0.513324450366422
"knn,rf,rfferns,pda,gbm,adabag,multinom",7,0.515989340439707
"rf,gbm,rfferns,adabag,rfrules,pda",6,0.515989340439707
"pda,gbm,glmnet",3,0.503997335109927
"rfferns,gbm,rf,knn",4,0.509327115256496
"rfrules,gbm,knn,glmnet,multinom,adabag,pda",7,0.508994003997335
"pda,rfferns,knn,glmnet,rfrules,gbm,adabag,multinom",8,0.507661558960693
"knn,rfrules",2,0.478347768154564
"gbm,glmnet,rfferns,rfrules,adabag,multinom,knn",7,0.511325782811459
"multinom,knn,gbm,rf,pda,glmnet,rfrules,rfferns",8,0.515323117921386
"rfrules,rf,glmnet,knn",4,0.508994003997335
"rfrules,multinom,adabag,gbm,glmnet,pda,rf,knn",8,0.513324450366422
"rf,pda,knn",3,0.530979347101932
"rfferns,pda,multinom,rfrules,adabag,rf",6,0.513324450366422
"knn,rfrules,multinom,adabag,pda,gbm,rf,glmnet,rfferns",9,0.513657561625583
"knn,multinom,rfrules,rfferns,adabag,glmnet,rf",7,0.513990672884743
"gbm,knn,rf,multinom,rfrules,glmnet,rfferns",7,0.518987341772152
"rfferns,knn,glmnet,pda,multinom,rf,rfrules,gbm",8,0.518321119253831
"glmnet,knn,rfrules,adabag,gbm,rf,pda",7,0.510326449033977
"rfferns,pda,multinom,rf,glmnet,knn",6,0.509660226515656
"multinom,knn,pda,rf",4,0.502998001332445
"knn,gbm,glmnet",3,0.510326449033977
"pda,rf,adabag,knn,rfferns,glmnet,multinom,gbm,rfrules",9,0.514656895403065
"multinom,rf,pda,gbm,rfferns,adabag",6,0.510992671552299
"rfrules,adabag,rf,multinom,rfferns,gbm,glmnet,knn",8,0.513990672884743
"gbm,multinom,glmnet,pda,rfrules,rf,adabag",7,0.511325782811459
"glmnet,rfferns,rfrules,pda",4,0.501998667554963
"knn,glmnet,multinom,gbm,rf,rfferns,adabag",7,0.514656895403065
