"training.data.idx","pda.pred"
2,2
17,1
24,2
30,2
31,2
36,3
62,2
102,1
134,2
139,2
152,2
159,2
169,1
172,2
180,2
189,1
214,1
230,2
257,1
260,2
267,1
273,3
278,2
282,1
290,2
301,1
312,2
329,2
341,1
343,2
352,2
353,2
358,2
365,2
385,2
454,2
455,2
457,2
469,1
477,2
479,3
480,2
494,2
503,2
508,1
515,4
523,2
524,2
544,2
549,4
553,2
586,2
592,1
595,2
602,2
611,1
624,2
634,2
642,2
652,2
662,2
665,3
673,2
674,3
685,2
696,4
697,4
712,3
713,2
723,1
725,2
736,2
738,2
748,2
756,2
760,1
812,1
816,2
838,2
869,5
881,2
882,2
888,2
890,2
901,1
907,1
911,2
915,2
925,1
936,2
940,2
958,2
979,1
992,2
1022,2
1024,2
1029,2
1037,2
1060,2
1072,2
1077,1
1093,2
1097,2
1098,1
1110,2
1120,2
1123,2
1128,2
1130,2
1140,1
1148,2
1150,2
1162,2
1176,2
1187,2
1193,4
1202,2
1211,2
1224,1
1235,2
1240,4
1244,2
1250,2
1285,1
1292,1
1293,2
1294,2
1345,2
1352,1
1363,2
1371,2
1390,1
1424,2
1427,2
1461,2
1467,1
1469,4
1471,2
1477,1
1481,1
1518,2
1523,2
1528,2
1529,2
1543,1
1567,2
1570,2
1592,2
1601,1
1611,1
1617,1
1618,1
1625,2
1630,2
1633,2
1644,2
1654,2
1656,3
1673,1
1675,1
1683,2
1685,2
1695,2
1701,2
1710,1
1715,1
1716,2
1717,2
1720,2
1742,4
1747,2
1754,2
1801,1
1806,2
1812,2
1821,2
1829,2
1837,3
1848,2
1857,2
1940,1
1943,2
1957,2
1966,2
1980,2
1982,3
2016,2
2040,3
2048,2
2091,2
2102,3
2106,1
2119,2
2146,1
2147,2
2164,1
2166,4
2171,1
2176,1
2183,2
2197,2
2198,2
2216,2
2219,2
2223,2
2244,2
2276,2
2287,3
2302,1
2325,2
2336,2
2343,1
2352,1
2353,2
2357,2
2367,1
2368,2
2369,2
2379,2
2406,1
2414,1
2415,2
2419,1
2432,2
2440,2
2443,1
2446,2
2447,2
2452,1
2480,4
2493,2
2495,2
2507,1
2511,2
2519,2
2535,3
2549,2
2554,2
2561,1
2566,2
2567,1
2570,2
2572,2
2584,2
2591,3
2596,2
2600,2
2608,3
2614,2
2620,2
2625,2
2627,2
2646,2
2651,2
2657,2
2670,1
2674,1
2675,2
2678,1
2687,2
2689,2
2692,4
2693,2
2698,2
2707,2
2726,2
2734,2
2735,2
2751,1
2752,2
2757,2
2764,2
2776,2
2780,2
2791,2
2796,2
2798,2
2803,1
2814,4
2824,1
2829,2
2835,2
2843,2
2873,2
2881,2
2885,2
2888,2
2891,1
2923,3
2949,2
2958,2
2961,1
2978,2
2999,2
3008,2
3009,2
3032,2
3060,2
3062,2
3067,1
3073,2
3075,2
3081,4
3089,2
3114,2
3139,2
3141,1
3156,2
3157,1
3168,2
3172,4
3178,1
3217,2
3223,2
3234,2
3267,2
3293,1
3300,2
3306,1
3307,2
3326,4
3336,1
3367,2
3372,2
3399,2
3404,2
