"novars" "variable" "value"
"1" 0 "pop2" 33135.9224502698
"2" 1 "pop2" 32935.0075137873
"3" 2 "pop2" 32941.543256147
"4" 3 "pop2" 32825.7561689952
"5" 4 "pop2" 32810.9334671449
"6" 5 "pop2" 32804.5495666349
"7" 6 "pop2" 32813.8499824076
"8" 7 "pop2" 32757.0606469132
"9" 8 "pop2" 32731.5451381883
"10" 9 "pop2" 32731.5451381883
"11" 10 "pop2" 32725.8679118844
"12" 11 "pop2" 32729.5146991051
"13" 12 "pop2" 32738.8912723208
"14" 13 "pop2" 32744.8246665792
"15" 14 "pop2" 32744.8246665792
"16" 15 "pop2" 32754.1426507033
"17" 16 "pop2" 32762.4991609047
"18" 17 "pop2" 32759.9726169222
"19" 18 "pop2" 32767.3280510892
"20" 19 "pop2" 32775.2662058808
"21" 20 "pop2" 32774.7570948827
"22" 21 "pop2" 32756.0201413395
"23" 22 "pop2" 32757.9238560794
"24" 23 "pop2" 32765.6269852023
"25" 24 "pop2" 32775.3313657209
"26" 25 "pop2" 32779.6832840788
"27" 26 "pop2" 32789.0082356757
"28" 27 "pop2" 32798.9554952969
"29" 28 "pop2" 32808.1024995227
"30" 29 "pop2" 32813.5337122747
"31" 30 "pop2" 32820.8100183309
"32" 31 "pop2" 32825.8145311197
"33" 32 "pop2" 32834.9515635356
"34" 33 "pop2" 32842.726608354
"35" 34 "pop2" 32852.8043117268
"36" 35 "pop2" 32862.6760597586
"37" 36 "pop2" 32872.3702982364
"38" 37 "pop2" 32882.4560958585
"39" 38 "pop2" 32890.5573858337
"40" 39 "pop2" 32897.1694188869
"41" 40 "pop2" 32907.0179893364
"42" 41 "pop2" 32915.5123012586
"43" 42 "pop2" 32925.4996728129
"44" 43 "pop2" 32929.3033284716
"45" 44 "pop2" 32935.7493534604
"46" 45 "pop2" 32944.3630255317
"47" 46 "pop2" 32954.213732628
"48" 47 "pop2" 32964.2277824707
"49" 48 "pop2" 32970.5910645023
"50" 49 "pop2" 32970.5910645023
"51" 50 "pop2" 32979.226177753
"52" 51 "pop2" 32988.2594062611
"53" 52 "pop2" 32997.9441635536
"54" 53 "pop2" 33007.9696542082
